Miekan perus-WC = 15 ja paino 4, ja materiaali iron. Paladiini 
siis saa miekan ilmaiseksi, mutta erikoiset materiaalit pitaa 
ostaa. Materiaalia voi vaihtaa aina kun haluaa, mutta tietty
joka kerta pitaa maksaa taysi hinta.
 
Materiaali     Hinta    Erikoisefektit
-------------------------------------------------------------------
Adamandite      600k    Miekan WC nousee +2 ja Paino -2
Cobalt          200k    Miekan DT = FIRE, WC +1, Paino +1
Diamond         800k    Miekan DT = FIRE, WC +2, STR+1
Electrum        550k    Miekan DT = ELECTRICITY, WC +2, Paino +2
Mithril         500k    Miekan WC nousee +3
Molybdenum      400k    Miekka myrkyttaa (harvoin) osuessaan, WC +1
Onyx            300k    Miekan DT = COLD ja +1 WC
Ruby            450k    Miekan DT = FIRE ja +2 WC
Silver          250k    WC +1 (undeadeihin +3), Paino +1

